Entity,Type,Superclass(es),ensure_fair_processing,validate_authenticity,submitts,has_half-life,'is_tagging_of -> data',has_cost,delends_on,defines_design_of,impact_assessments,ensure_accountability,implements,has_importance,validate_provenance,has_price,is_easy_to_collect,requires,minize_amount,is_easy_to_digitize,capture_records_of,classify_as,enforces_governance_of,defines_desirable,is_categorized_by,referential_integrity,to_notify,uses,ensure_accuracy,is_classified_by,discloses,provides_relational_search_service,ensures_referential_integrity,mandates,is_collected_by,is_compliant_with,provides_database_service,has_value,is_composed_of,'is_taxonomy_of ->  ML, AI',requires_compliance_with,is_secured_by,data_transfer,provides_referential_integrity,is_metadata_of,ensure_transparancy,being_notified,provides_fulltext_service,is_stored_in,'is managed by',ensure_integrity,has_capability,provides_index_service,monitors,consists_of,provides,ensure_lawfulness_processing,is_an_expense,has_obligations,limit_storage_period,is,designs,is_administered_by,specifies,has,'is_governed_by an IGProgram,',Classify,is_classiffied_by,is_retrieved,cooperation_with,is_specified_by,has_member,complies_with,be_appointed,requires_referential_integrity,comply_with_,is_searched_using,implements_relational_index_service,plan,is_governd_by,is_disposed_by,is_member_of,is_defined_by,handles,provides_fulltext_search_service,implements_fulltext_service,implements_database_service,is_responsible_for,requires_design_of,is_archived,provides_relational_index_service,implements_relational_search_service,avoids_orphan_contentobjects,is_hard_to,requires_twophase_commit_protocol,provides_catalog_service,limit_purpose,avoids_dangling_pointers,developes,provides_search_service,complies,provides_fulltext_index_service,is_obligated_to_esure,has_risk,has_maturity_level,align,analyze,appoint,approve,aquire,archive,assess,audit,backup,build,classify,communicate,conduct_inventory,control,convert,coordinate,correct,create,defines,defines_maturity,design,develop,distribute,ensure,establish,estimate,evaluate,governs,has_maturity,manage,measure,monitor,produces,profile,promote,test,validate,owl:topObjectProperty,risk,value,maturitylevel,cost,owl:topDataProperty,abstract,contributor,creator,description,issued,license,modified,publisher,references,rights,source,title,igso:isReferencedBy,contentLanguage,copyright,fileAbbreviation,fileAbstract,filename,relatedSpecification,rdfs:comment,rdfs:isDefinedBy,rdfs:label,'alternative label','change note',definition,'editorial note',example,skos:historyNote,note,'preferred label','scope note','construct regex','parse regex','actual expression','common designation','definition origin','has maturity level','preferred designation','term origin',abbreviation,acronym,'adapted from',copyright,'direct source','explanatory note','logical definition',symbol,synonym,'usage note',
align,ObjectProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'align'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMA_Principles,Class,PractitionerDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ARMA / IGMM	 - ARMA International is the community of records and  information management and governance professionals. RIM is the combination Records and Information Management. Records management provides a holistic approach to management and disposition of records and information. Information Management provides management based on business value to an organization’s constituents and clients. RIM focus is to link records with business outcomes and processes. IGIM is the Information Governance Implementation Model published and promoted by ARMA: 
 ARMA / IGMI
Information Governance Maturity Model (IGMM) are defined in the Glossary of  Records and Information Management Terms,3rd Edition (ARMA International, 2007). Data Governance is a subset of IT governance that focuses on establishing processes  and policies around managing data as a corporate asset. More ovber data governance refers to the overall management of the availability, usability, integrity and security of the data employed in an enterprise. And data governance provides the infrastructure,  resources and processes necessary to manage data with the big picture in mind. 
						Regulatory compliance - Sarbanes-Oxley, etc.: Where management has outsourced…functions to third party service provider(s), management maintains a responsibility to assess the controls over the outsourced operations.

The business drivers for managing data as a corporate asset are:
- Competitiveness
- Regulatory compliance
- Realizing the benefit of investments in BI and other Information-based initiativesEstablishment of a modeling strategy

Other practitioner associations are:
CGOC - IGRM	CGOC (Compliance, Governance and Oversight Council) is a forum of over 3,800 legal, IT, privacy, security, records and information management professionals. Author of - IGRM Information Governance Refence Model.
EDRM - EDRM - EDRM electronic Discovery Refence Model
ISACA-COBIT
DAM - Data Asset Management	
DAMA - The Data Management Association'	'Records management provides a holistic approach to management and disposition of records and information. Information Management provides management based on business value to an organization’s constituents and clients. RIM focus is to link records with business outcomes and processes.

'GARP Principles'
Accountability
Transparency
Integrity
Protection
Compliance
Availability
Retention
Disposition'",,"'ARMA_Principles'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWS,Class,Acronym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'AWS'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccessMethod,Class,Method	Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'AccessMethod'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountability,Class,ARMA_Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Essential
A records management program (RMP)  is established.
The RIM role is assigned.
Electronic records are part of the RMP.
RIM is engaged with other officers.                                                                                       
IG drives information-driven processes.
Accountabiliy goals are defined.
Proactive 
IG professional supervises IG program.
A senior officer is appommnted RM and responsible for the RMP.
RMP is an element of the IGP.
Disposition policies and RM-related issues are revied periodically.

Transformational
SMgmnt and Governing Board place great emphasis on IG.  
There is a Chief Information Governanace Officer (CIGO) appointed.
CIGO and RM are member of the governing body.
The accountability goals are met.
The accountability goals are periodically reviewed and revised'	'
							   L3 - Essential means: 
							   A records management program (RMP) is established. The RIM role is assigned. Electronic records are part of the RMP. RIM is engaged with other officers. IG drives information-driven processes. Accountabiliy goals are defined. 
							   L4 - Proactive  
							   IG professional supervises IG program. A senior officer is appommnted RM and responsible for the RMP. RMP is an element of the IGP. Disposition policies and RM-related issues are revied periodically.  
							   L5 - Transformational 
							   Senior Mgmnt and Governing Board place great emphasis on IG.  There is a Chief Information Governanace Officer (CIGO) appointed. CIGO and RM are member of the governing body. The accountability goals are met. 
							   The accountability goals are periodically reviewed and revised.'",,"'Accountability'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acronym,Class,owl:Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Acronym'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Class,Organizationdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfresco,Class,IGSVendor,,,,,,,,,,,,,,,,"'CloudPlatformService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'InformationManagementService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Alfrescos taxonomy & vocabulary related to systems, capabilities and services:  
Systems: 

Content Stores: IBM Cloud, Google Cloud (GCP), Amazon S3, Microsoft Azure,
Capability: 
Information Management: 
  Enterprise Content Services (ECS), 
  Information Retrieval Services (IRS).  
 Content Services relates to business-critical content and compliance.

 Information Governance:
   relates to regulatory compliance (Compliance), 
   implements Records Lifecycle Services, 
  Annotation: 
  Governance mandates that business relevant information needs  to be  
   retained because of regulations.
  business relevant information, retain, coprorate regulatory compliance information,
  personnel records, audit relevant information, record category, 
  retention schedule, record folder, permissions. 
 Create a file plan, use a taxonomy,create record types, create record metadata, 
 edit create record metadata, process a record.    

Process Services are BPM workflows. 
  Simple & complex business processes are automated. 
 Business Workflow Services: BPM, Process Automation, 
  ILM & RLM simple & complex govvernance processes     
    
 IRS:
  Indexing Services (structured, unstructured) 
  Enterprise Search (Parametric, Full Text,NLP, AI): 
  (Solr, Elastic Search), Insight(ML,AI), 
  Business Intelligence / Analytics: 
 (AI based on AWS AI, Transacribe, Comprehend, Rekognition, Textract) 		 Search Federation Services:   
 Intelligence Services: (AI based on AWS AI, Transacribe, Comprehend, 
 Recognition, Textract) = AI Transform Engine;

Integrations: A sync-Service allows for sync - between desktop and repository. 
Integration: File Synchronize, Desktop Sync, Desktop, Repository, 
 Business Connectors: (Salesforce, SAP, SAP Cloud, Microsoft365, MicrosoftTeams, Microsoft Outlook, MicrosoftOffice), 
Digitak Workspace, App-Development Framework, Content Mobile,  
Transformation Services: Rendition, En-Decryption, Compression, Document Transformation Engine;
The transform service converts files between source and target formats. Content Stores migh tbe S3, Azure, ....; 
Business Connectors: Salesforce, SAP, SAP Cloud, Microsoft365, MicrosoftTeams, Microsoft Outlook, Microsoft Office,  Applications:  
Applications: Digitak Workspace, App-Development Framework, Content Mobile; 

Repository Services: Key content repository services capabilities are:
 Content Repository - Object Catalog - Object Schema - Database - RDBMS - 
Storage - Object-Storage

Metadata Repository - System Catalog - Repository Schema - Database -  RDBMS - DB-Storage 
Document management - Document scanning and capture;  
Enterprise Collaborations  
		
Information Governance: 
Governance Services - Regulations - EU-GDPR - DoD 5015.02 - BASEL II   
  Records Management:   File Plan, Records Classification, Taxonomy - Security  Marks   Record repository - Records Catalog - Records Schema - Database -  RDBMS - DB-Storage
  Data Value, Cost , Risk 

Operational Services: 			
 Security Services: Authentication, Authorization, Access Control (AAA), Privacy,  
Service Availablity Measure: Scalability, High Availability (HA), Disaster Recovery (DR)
Cyber Security: Leakage & Breach Prevention Plan/Measure,  
   
 Administration: maintenance, reporting, fiscal reporting, auditing, provenance, integrity, consistency, distribution'",,"'Alfresco'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Class,IGSVendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmazonCloudSystem,Class,CloudPlatform	System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'AmazonCloudSystem'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArchiveSolution,Class,Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ArchiveSolution'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
